id,node,batchsize,delay,tx,send,round
14,16,4000,1.523496389389038,16000,250,0
14,16,4000,2.2086687088012695,32000,300,1
14,16,4000,1.5383741855621338,48000,280,2
14,16,4000,1.9962146282196045,64000,290,3
14,16,4000,2.2500879764556885,80000,200,4
14,16,4000,2.503061056137085,96000,310,5
14,16,4000,2.423684597015381,112000,320,6
9,16,4000,1.9353094100952148,16000,256,0
9,16,4000,2.3791518211364746,32000,304,1
9,16,4000,1.532982587814331,48000,268,2
9,16,4000,2.3167073726654053,64000,304,3
9,16,4000,1.3460309505462646,80000,244,4
9,16,4000,2.0374488830566406,96000,232,5
9,16,4000,2.3613181114196777,112000,340,6
8,16,4000,1.3139488697052002,16000,240,0
8,16,4000,2.3825645446777344,32000,350,1
8,16,4000,1.6080641746520996,48000,190,2
8,16,4000,2.397979974746704,64000,270,3
8,16,4000,1.728846788406372,80000,210,4
8,16,4000,2.080092430114746,96000,310,5
8,16,4000,2.2059695720672607,112000,300,6
4,16,4000,1.73921799659729,16000,220,0
4,16,4000,2.050459861755371,32000,320,1
4,16,4000,1.6723151206970215,48000,230,2
4,16,4000,2.2682411670684814,64000,280,3
4,16,4000,3.203915596008301,80000,320,4
4,16,4000,1.6152896881103516,96000,240,5
4,16,4000,2.7427449226379395,112000,310,6
5,16,4000,1.492109775543213,16000,220,0
5,16,4000,1.987034559249878,32000,320,1
5,16,4000,1.4474155902862549,48000,230,2
5,16,4000,1.625225305557251,64000,280,3
5,16,4000,2.278266429901123,80000,320,4
5,16,4000,1.6922519207000732,96000,240,5
5,16,4000,2.208357334136963,112000,310,6
7,16,5000,1.852172613143921,20000,230,0
7,16,5000,2.165339708328247,40000,320,1
7,16,5000,2.3021273612976074,60000,230,2
7,16,5000,2.07275128364563,80000,270,3
7,16,5000,2.5918996334075928,100000,210,4
7,16,5000,2.7206060886383057,120000,350,5
7,16,5000,2.521604299545288,140000,260,6
12,16,5000,2.3018503189086914,20000,230,0
12,16,5000,2.1997203826904297,40000,310,1
12,16,5000,2.01509165763855,60000,250,2
12,16,5000,1.7854604721069336,80000,260,3
12,16,5000,2.5731656551361084,100000,210,4
12,16,5000,2.7284984588623047,120000,350,5
12,16,5000,2.5579898357391357,140000,250,6
6,16,5000,1.5555410385131836,20000,250,0
6,16,5000,2.19392991065979,40000,290,1
6,16,5000,2.3330442905426025,60000,210,2
6,16,5000,2.311901569366455,80000,270,3
6,16,5000,2.3626766204833984,100000,340,4
6,16,5000,2.7764241695404053,120000,250,5
6,16,5000,2.5907227993011475,140000,310,6
1,16,5000,1.2918848991394043,20000,292,0
1,16,5000,2.1624996662139893,40000,268,1
1,16,5000,2.299685478210449,60000,244,2
1,16,5000,2.26350998878479,80000,244,3
1,16,5000,2.103024959564209,100000,256,4
1,16,5000,2.5899806022644043,120000,244,5
1,16,5000,2.3819737434387207,140000,304,6
0,16,5000,1.6867973804473877,20000,270,0
0,16,5000,2.177713632583618,40000,280,1
0,16,5000,1.7388930320739746,60000,270,2
0,16,5000,1.7755498886108398,80000,320,3
0,16,5000,3.0818018913269043,100000,250,4
0,16,5000,2.5942087173461914,120000,230,5
0,16,5000,2.248417377471924,140000,310,6
3,16,5000,1.2900047302246094,20000,270,0
3,16,5000,2.2833240032196045,40000,280,1
3,16,5000,1.7642438411712646,60000,230,2
3,16,5000,1.8841617107391357,80000,290,3
3,16,5000,1.593860387802124,100000,230,4
3,16,5000,2.753892183303833,120000,240,5
3,16,5000,3.416733980178833,140000,300,6
15,16,5000,1.5003509521484375,20000,270,0
